Date,Irritation (0-10),Closeness (1-10),Razor,Blade,Use,Preshave,Soap,Post-shave,Brush,Passes,Water (1-5),Nicks/Burn,Bow Lather,Notes,Notes (add.)
8/25/2020,1.5,6.5,Merkur 23C,Big Ben,1,Proraso Green,Stirling - Varen,"Fine Platinum, Zingari Man","AP Shave Co, Synbad","WTG, XATG, ATG (partial)",4,,1,"Excellent lather, mediocre blade",
8/26/2020,3,7.5,Merkur 23C,Gillette Slim,1,Proraso White,Stirling - Sandpiper,"Stirling - Sandpiper, DSC","AP Shave Co, Synbad",3--2--2 + cleanup pass,4,,1,"Excellent lather, good blade. Some patches of hair were left.",
8/27/2020,1.5,6,Merkur 23C,Gillette Slim,2,Proraso White,Maggards - Tobacco and Lather,"Fine Platinum, DSC","AP Shave Co, Synbad",3--3--2,3.5,,1,,Small sample
8/28/2020,2,7,Merkur 23C,Astra SP,1,Proraso Green,Archaic - Archaic,"Pinaud Clubman, DSC","APShaveco, Cashmere",3--3--2,3.5,,,,
8/29/2020,3,8,Maggard V3A + MR5,Gillette 7 O'Clock SS,1,Stirling Haverford,TOBS - Court Hairdressers,"PAA - Copalli, DSC","AP Shave Co, Synbad",3--3--2,3.5,,1,,
8/30/2020,2,8,Merkur 23C,Astra SP,2,,Daper Dragon - Pomegranate,"Proraso Green, DSC","AP Shave Co, Synbad",3--3--2,3.5,,1,,Small sample
8/31/2020,2,7,Merkur 23C,Gillette 7 O'Clock Platinum,1,PAA - Copalli,Dr. Harris - Lavender,"Proraso Green, Zingari Man","APShaveco, Cashmere",3--3--2,3.5,,1,,
9/1/2020,1,7,Merkur 23C,Gillette 7 O'Clock Platinum,2,Proraso Green,Zingari Man - Magician,", Zingari Man","APShaveco, Synbad",3--3--2,3.5,,1,,
9/2/2020,1.5,8,Merkur 23C,Gillette 7 O'Clock Platinum,3,Proraso White,Daper Dragon - Pomegranate,"Proraso Green, DSC","APShaveco, Synbad",3--3--2,3,,1,,Small sample
9/3/2020,2,7,Merkur 23C,Gillette 7 O'Clock SS,1,Proraso White,CF - Ghost Town Barber,"Pinaud Clubman, Zingari Man",Maggards,3--3--2,3,,,,
9/4/2020,5,7.5,PAA DOC Ascension,Astra SP,1,Proraso Green,Zingari Man - Magician,"Proraso Green, DSC",Maggards,2--3--2,3.5,,,,
9/5/2020,5,8,PAA DOC Ascension,Gillette 7 O'Clock SS,2,Proraso Green,Cannonball SBS,"Cannonball SBS, DSC","APShaveco, Synbad",3--2--1,3.5,,,,
9/6/2020,2,8.5,Merkur 23C,Astra SP,2,Proraso Green,Maggard - Green Apple,Proraso Green,"APShaveco, Synbad",3--2--2,3.5,,1,,Small sample
9/7/2020,4,9,"Parker Variant (2.5,1.5,1.5)",Gillette 7 O'Clock SS,1,Proraso Green,Zingari Man - Watchman,"Pinaud Vanilla, DSC","APShaveco, Synbad","WTG, XATG, ATG",3.5,,1,First use with non-defective Parker,Small sample
9/8/2020,2,7.5,Merkur 23C,Gillette 7 O'Clock SS,1,Proraso Green,Zingari Man - Socialite,", Zingari Man","APShaveco, Synbad","XATG, XATG",3.5,,1,"Too much menthol in soap, irritation.",Small sample
9/9/2020,1,8,Merkur 23C,Gillette 7 O'Clock SS,2,Proraso Green,Maggard - Green Apple,"Proraso Green, DSC","APShaveco, Synbad",3--3--2,3.5,,1,,Small sample
9/10/2020,4,9,"Parker Variant (2.5,1.5,1.5)",Gillette 7 O'Clock SS,2,Proraso White,Stirling - Sandpiper,"Stirling Sandpiper, DSC",Maggards,"WTG, XATG, ATG",3.5,,,,Small sample
9/11/2020,0.5,8,"Parker Variant (2.5,1.5)",Lord Platinum,1,Proraso Green,Proraso - Red,"Fine Platinum, DSC","APShaveco, Synbad",2--2--2,3.5,,,,
9/12/2020,4,7,PAA DOC Ascension,Lord Platinum,1,Proraso White,PAA - Porthos,"PAA - Copalli, DSC","APShaveco, Synbad",3--3--2,3.5,,1,One nick,
9/13/2020,2,6.5,Merkur 23C,Nacet,2,Proraso Green,Maggard - Green Apple,"Proraso Green, DSC","APShaveco, Synbad",3--3--3,4,,1,,Small sample
9/14/2020,3,8,"Parker Variant (2.5,1.5)",Lord Platinum,2,Proraso Green,Pre de Provence - 63,"Thayer's, Pre de Provence","APShaveco, Synbad",2--2--2,3,,,,
9/15/2020,1.5,7.5,Merkur 23C,Crown,1,Proraso White,A&E - L'Orange Verte,"Proraso Green, DSC",Maggards,3--3--3,3.5,,1,,
9/16/2020,2,9,"Parker Variant (2.5,1.5)",Lord Platinum,3,Proraso White,Proraso - Red,"Fine Platinum, DSC",Maggards,"WTG, XATG, ATG",3.5,,,,
9/17/2020,4,7,Gillette Tech,Astra SP,1,Proraso White,TOBS - Sandalwood,"Pinaud Vanilla, DSC","APShaveco, Synbad",3--3--3,3.5,1,1,"ingrowns, irritation",
9/18/2020,1.5,7.5,"Parker Variant (2.5,1.5)",Rapira Sweedish Super Steel,1,Proraso White,NO - The Noir et Vanille,"Proraso Green, DSC","APShaveco, Synbad",2--2--2,3.5,,1,,Small sample
9/19/2020,2,8,"Parker Variant (2.5,1.5)",Rapira Sweedish Super Steel,2,Proraso White,PAA - Copalli,"PAA - Copalli, DSC","APShaveco, Synbad",3--3--3,3.5,,,,
9/20/2020,3,8.5,"Parker Variant (2.5,1.5)",Lord Platinum,2,Proraso White,Stirling - Varen,"Proraso Green, Zingari Man","APShaveco, Synbad","WTG, XATG, ATG",4,,1,,
9/21/2020,3,8,"Parker Variant (3,1.5)",Lord Platinum,1,Proraso White,PAA - Planet Phoenix,"PAA - Copalli, DSC","APShaveco, Synbad",2--2--2,3,,,,
9/22/2020,1,8,"Parker Variant (2.5,1.5)",Lord Platinum,3,Proraso White,Archaic - Archaic,"Pinaud Clubman, DSC","APShaveco, Synbad",2--2--1,4,,,,
9/23/2020,5,6,Mamba,Lord Platinum,1,Proraso White,PAA - Planet Phoenix,"Proraso Green, Zingari Man","APShaveco, Synbad",3--3--2,3,,1,,Small sample
9/25/2020,3,7,Mamba,Astra SP,1,Proraso White,Proraso - Red,"Fine Platinum, DSC",Maggards,"WTG, XATG, ATG",3,,,,
9/26/2020,4,7,GC 84p,Lord Platinum,1,Proraso White,PAA - Porthos,"Proraso Red, DSC","APShaveco, Synbad",3--3--2,3,,,,
9/27/2020,2.5,8,GC 84p,Astra SP,2,Proraso White,Zingari Man - Magician,", Zingari Man",Maggards,3--3--2,3.5,,,,
9/28/2020,4,8,GC 84p,Astra SP,3,Proraso White,TOBS - Court Hairdressers,", Zingari Man","APShaveco, Synbad",3--3--2,3,,,,
9/29/2020,5,9,"Parker Variant (2.5,1.5)",Lord Platinum,2,Proraso White,PAA - Copalli,"PAA - Copalli, DSC","APShaveco, Synbad",3--3--2,3.5,,,Could have added to little soap,
9/30/2020,1.5,7,"Parker Variant (2.5,1.5)",Lord Platinum,1,Proraso White,TOBS - Sandalwood,", Zingari Man","APShaveco, Synbad",2--2--1,3.5,,,Lather was way too thin. Should have used more product.,
10/1/2020,1,7,"Parker Variant (2.5,1.5)",Lord Platinum,2,Proraso White,Zingari Man - Magician,", Zingari Man","APShaveco, Synbad",2--2--1,3.5,,,Good lather,
10/2/2020,3,7.5,"COMBO: GC 84p, Merkur 23C ","COMBO: Gillette 7 O'Clock SS, GSB",1,PAA Preshave,Zingari Man - Magician,"Proraso Red, DSC","APShaveco, Synbad",3--3--2,3.5,,1,,
10/3/2020,5,6.5,GC 84p,Gillette 7 O'Clock SS,2,Proraso White,A&E - L'Orange Verte,", DSC","APShaveco, Synbad",3--3--2,3.5,,,Great lather,
10/4/2020,5,9,"Parker Variant (2.5,1.5)",Lord Platinum,3,Proraso White,Dr. Harris - Lavender,"Proraso Red, DSC","APShaveco, Synbad","WTG, XATG, ATG",3.5,,1,,
10/5/2020,1.5,8,Merkur 23C,GSB,3,Proraso White,PAA - Planet Phoenix,"Proraso Red, DSC","APShaveco, Synbad",3--3--2,3.5,,1,Great lather,Small sample
10/7/2020,3,8,"Parker Variant (3, 2,1.5)",Lord Platinum,1,Proraso White,PAA - Planet Phoenix,", Zingari Man","APShaveco, Synbad",3--3--2,3.5,,1,,Small sample
10/8/2020,3,8.5,"Parker Variant (3, 2,1.5)",Lord Platinum,3,Proraso White,Proraso - Red,"Proraso Red, DSC","APShaveco, Synbad",3--3--2,3.5,,,,
10/9/2020,3,8,Merkur 23C,Nacet,1,Proraso White,Uncle Jon's - Pipe Smoke,"Proraso Green, DSC","APShaveco, Synbad",3--3--2,,,,,
10/10/2020,2,8.5,Rockwell 6S (R3),Astra SP,1,Proraso White,Zingari Man - Magician,"Fine Platinum, DSC","APShaveco, Synbad",3--3--2,3.5,,,,
10/11/2020,2,8.5,Rockwell 6S (R3),Astra SP,2,Proraso White,Uncle Jon's - Pipe Smoke,"Fine Platinum, DSC","APShaveco, Synbad",3--3--2,3.5,,,,
10/12/2020,1.5,7.5,Rockwell 6S (R3),Astra SP,3,Proraso White,B&M - Lavender,"Proraso Red, DSC","APShaveco, Synbad",3--3--2,3.5,,1,"Airy, thin lather",Small sample
10/13/2020,1.5,7,Rockwell 6S (R3),Astra SP,4,Proraso White,Stirling - Varen,", Zingari Man",Maggards,3--3--2,3.5,,,,
10/14/2020,4,8,Rockwell 6S (R4),Astra SP,1,Proraso White,PAA - Porthos,"PAA - Porthos, DSC",PAA Amber Aerolite,3--3--2,3.5,,,,
